#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)

# Custom themes (personal)
G,https://github.com/sudo-Tiz/minecraft-plymouth-theme.git,"is a minecraft plymouth theme"
G,https://github.com/sudo-Tiz/minegrub-theme.git,"is a minecraft grub theme"

# Device-specific
G,https://github.com/sudo-Tiz/asus-numpad.git,"is a numpad trackpad driver for asus laptops"
G,https://github.com/sudo-Tiz/tablet-mode-hotkey,"is a c program to disable keyboard and trackpad in tablet mode"
A,iio-hyprland-git,"is a daemon to enable automatic rotation using iio-proxy-sensor"
,squeekboard,"is an on-screen keyboard for Wayland"
,iio-sensor-proxy,"is a IIO accelerometer sensor to input device proxy"

# System extras
,cups,"is the CUPS printing system"
,system-config-printer,"is a printer configuration tool"
,dosfstools,"provides DOS filesystem utilities"
,fuse2,"is a filesystem in userspace"
,dmidecode,"is a Desktop Management Interface table decoder"
,i2c-tools,"provides I2C bus tools"
,powertop,"is a power consumption analyzer"
,vulkan-intel,"provides Intel Vulkan drivers"
,qt5-wayland,"provides Qt5 Wayland integration"
,nwg-displays,"is an output management utility for Hyprland"
,nwg-look,"is a GTK settings editor for Wayland"
,swappy,"is a Wayland screenshot editor"
,chafa,"provides terminal graphics for the 21st century"
,wtype,"is a Wayland keyboard input tool"
,python-pipx,"installs Python applications in isolated environments"
,python-adblock,"is the Brave adblock python library for adblocking in qutebrowser"
,python-qrcode,"is a QR code generator library"
,tesseract,"is an OCR engine"
,tesseract-data-eng,"provides English language data for Tesseract"
,poppler-data,"provides encoding data for poppler"
,7zip,"is a file archiver with high compression ratio"
,atool,"is an archive tool wrapper"
,yt-dlp,"can download YouTube videos"
,jq,"is a JSON processor"
,yq,"is a YAML processor"
,just,"is a command runner"
,fd,"is a simple, fast alternative to find"

# Development
,ansible,"is an IT automation platform"
,clang,"is a C language family frontend for LLVM"
,cmake,"is a cross-platform build system"
,docker,"is a container platform"
,docker-compose,"is a tool for defining multi-container Docker applications"
,docker-buildx,"is the Docker Buildx plugin"
,gcc-fortran,"provides GNU Fortran compiler"
,go,"is the Go programming language"
,meson,"is a build system"
,pre-commit,"is a framework for managing pre-commit hooks"
A,vscodium-insiders-bin,"provides free/libre open source binaries of VSCode"
A,agru,"is a fast ansible-galaxy replacement"

# Network tools
,nmap,"is a network exploration tool"
,openbsd-netcat,"is the OpenBSD netcat"
,tcpdump,"is a network packet analyzer"
,wireshark-qt,"is a network protocol analyzer"
,rclone,"is a cloud storage synchronization tool"
,smbclient,"is an SMB/CIFS client"

# Android
,android-tools,"provides Android SDK platform tools"
,scrcpy,"is an Android screen mirroring tool"
A,simple-mtpfs,"enables mounting of cell phones"

# Virtualization
,libvirt,"is a virtualization API"
,spice,"is a remote computing protocol"
,qemu-desktop,"is the desktop QEMU emulator"
,qemu-emulators-full,"provides all QEMU emulators"
,virt-manager,"is a virtual machine manager"
,virt-viewer,"is a virtual machine viewer"
A,waydroid,"is an Android container for Linux"

# Games
,steam,"is a gaming platform"
,luanti,"is a voxel game and game creation platform"
,gnome-chess,"is a chess game for GNOME"

# Browsers
,firefox,"is a web browser"
,qutebrowser,"is a keyboard-driven web browser"
,torbrowser-launcher,"is the Tor Browser launcher"

# Media & productivity
,mixxx,"is DJ software"
,nsxiv,"is Neo Simple X Image Viewer"
,xournalpp,"is handwriting notetaking software"
,veracrypt,"is disk encryption software"
,pdfjs,"is a PDF reader in JavaScript"
,transmission-gtk,"is the BitTorrent client GTK+ interface"
,ollama,"allows running large language models locally"

# LaTeX
,texlive-binextra,"provides extra TeX Live binaries"
,texlive-fontsrecommended,"provides recommended TeX Live fonts"
,texlive-latex,"is the LaTeX TeX Live distribution"
,texlive-latexextra,"provides extra LaTeX TeX Live packages"

# Extra CLI
,htop,"is an interactive process viewer"
,nvtop,"is a GPU process monitor"
,ncdu,"is a disk usage analyzer"
,wev,"is a Wayland event viewer"
,cpio,"copies files to/from archives"
,arch-install-scripts,"provides Arch Linux installation scripts"
,wlroots0.18,"is the wlroots Wayland compositor library"
